student_id;annee_academique;departement_code;departement_nom;ue_code;ue_nom;note;enseignants
etu_2024000;2024-2025;ELEC;Électricité;LELEC1370;Circuits électriques;9,49;"Prof. Martin;Prof. Leroy"
etu_2024000;2024-2025;ELEC;Électricité;LELEC1755;Électronique analogique;17,94;Prof. Simon
etu_2024001;2024-2025;GC;Génie Civil;LGCIV1071;Stabilité des constructions;10,45;Prof. Lambert
etu_2024001;2024-2025;GC;Génie Civil;LGCIV1022;Matériaux de construction;18,1;Prof. Lambert
etu_2024002;2024-2025;MAP;Mathématiques Appliquées;LMAPR1015;Analyse mathématique;15,05;Prof. Lambert
etu_2024002;2024-2025;MAP;Mathématiques Appliquées;LMAPR1016;Algèbre linéaire;;Prof. Lambert
etu_2024003;2024-2025;GC;Génie Civil;LGCIV1071;Stabilité des constructions;12,67;Prof. Lambert
etu_2024003;2024-2025;GC;Génie Civil;LGCIV1022;Matériaux de construction;6,63;Prof. Lambert
etu_2024004;2024-2025;GC;Génie Civil;LGCIV1071;Stabilité des constructions;5,91;Prof. Lambert
etu_2024004;2024-2025;GC;Génie Civil;LGCIV1022;Matériaux de construction;11,77;Prof. Lambert
etu_2024005;2024-2025;INFO;Informatique;LINFO1101;Introduction à la programmation;12,06;Prof. Lambert
etu_2024005;2024-2025;INFO;Informatique;LINFO1102;Architecture des ordinateurs;8,6;Prof. Lambert
etu_2024005;2024-2025;INFO;Informatique;LINFO1252;Projet de programmation;;"Prof. Moreau;Prof. Durand"
etu_2024006;2024-2025;INFO;Informatique;LINFO1101;Introduction à la programmation;11,25;Prof. Lambert
etu_2024006;2024-2025;INFO;Informatique;LINFO1102;Architecture des ordinateurs;18,92;Prof. Lambert
etu_2024006;2024-2025;INFO;Informatique;LINFO1252;Projet de programmation;12,53;"Prof. Moreau;Prof. Durand"
etu_2024007;2024-2025;MAP;Mathématiques Appliquées;LMAPR1015;Analyse mathématique;15,61;Prof. Lambert
etu_2024007;2024-2025;MAP;Mathématiques Appliquées;LMAPR1016;Algèbre linéaire;16,6;Prof. Lambert
etu_2024008;2024-2025;MECA;Mécanique;LMECA1120;Mécanique des fluides;10,6;Prof. Durand
etu_2024008;2024-2025;MECA;Mécanique;LMECA1510;Conception des machines;14,57;Prof. Dubois
etu_2024008;2024-2025;MECA;Mécanique;LMECA1901;Projet de conception mécanique;6,23;Prof. Durand
etu_2024009;2024-2025;MECA;Mécanique;LMECA1120;Mécanique des fluides;11,87;Prof. Durand
etu_2024009;2024-2025;MECA;Mécanique;LMECA1510;Conception des machines;14,98;Prof. Dubois
etu_2024009;2024-2025;MECA;Mécanique;LMECA1901;Projet de conception mécanique;19,42;Prof. Durand
etu_2024010;2024-2025;GC;Génie Civil;LGCIV1071;Stabilité des constructions;9,9;Prof. Lambert
